PetID,cluster
86e1089a3,6
6296e909a,6
3422e4906,3
5842f1ff5,7
850a43f90,6
d24c30b4b,6
1caa6fcdb,6
97aa9eeac,7
c06d167ca,3
7a0942d61,5
8b693ca84,3
8e76c8e39,6
aaedd873d,6
4a9793dfb,6
c02be41e6,6
1fd342e17,4
b38a74866,5
f9d07d5fa,5
1c92ce464,7
b10e7605a,5
6436c1a59,3
234a5a54c,1
1bc0f89d8,5
1bf24d8be,5
988988d5b,2
cf7d3eec0,4
85fc3c314,7
efbf1703a,6
7843a9dca,5
d341fbfd6,6
1a76190c5,1
edb920079,6
543130f60,5
9415bc79e,3
4c6fe4100,1
0737e4f11,3
61fa73996,5
eabb13cea,6
deff069a2,3
4e3640544,5
ace21b6b1,7
8ee223a17,6
9a38d4275,6
671ffc570,3
aece6e7bf,5
c1e816568,7
22f6c0ac6,7
ea159d8da,4
af1035c81,1
0d25f084f,4
6fecc5cf7,7
7fe8ef73d,5
015c75c9e,1
9609a0b86,1
c740abfe1,5
f6551137d,7
8c131db77,1
d765ae877,6
8ce183889,6
9c0ddccc8,5
f9df8656a,3
f0ef9c777,5
3181e5424,4
9883a048e,3
b0dec8779,2
e8d0907ae,4
e540c1ba5,5
4a4db4d32,6
98a98311c,6
ef14861df,4
a9bc357f0,5
aaf4a1439,5
1e62e6022,3
4e797dcdd,1
45d2ddcb8,3
259b10a3e,6
d2490c888,1
2c93c0c11,1
35593da00,3
4cc70e613,5
ff125cf8d,5
c30dd6e9a,6
be9474b85,6
815f4cc08,1
ec5069cf6,1
867308404,6
e9df3ead7,5
258667857,3
fd3172797,7
8df0bb3b3,2
3d0752cd9,3
22051ab84,1
573b3ec3d,5
370fe2afb,7
dd308e46b,5
6a763a055,5
5e4154870,6
a44d42407,1
cc8401c02,1
0f24b6cd6,6
49bb70e36,6
43ddb2eb4,6
dae92dd61,4
a6ac8884b,5
60ce9e319,3
5247209aa,6
19b1f4263,6
d50e11ec5,5
4407e70f3,6
27b6e5aca,1
80ebea85c,3
1bf1f95ef,5
cdab8ba8e,3
b84dad49f,4
f0a2122d4,1
1104fe6bb,5
46d88ca3e,4
b99d5d532,1
2b6d08cba,4
b9429dc85,3
c61f6507e,6
e464fcd4b,4
86379f12f,6
55fcdea2f,1
392d3346e,3
33db028cb,6
35c0c3aca,3
d080818c3,1
6f0cb510a,6
61ac3c78c,5
368b2adc1,1
2e4c1faf7,6
a85a1c8c3,6
25c7d6c3b,7
0b819602d,5
4c594983d,1
05f99fc56,3
1dfadc371,5
6d9b202c9,7
54791dc58,6
b36616178,3
2ac4dd8c2,3
29f54c6ff,3
48b418070,4
c7eac7b01,3
8e0d65b3e,4
9a34ddc8b,6
ff9f62e79,1
4a6ee5d02,6
474bccd75,4
e4abb93bf,5
120805f93,5
2acf3fdce,6
e1ecc1b26,6
a8cdba660,7
9bcd62ef1,1
c3f2f166d,5
687e9c33c,5
