"","PetID","cluster"
"1","86e1089a3",3
"2","6296e909a",3
"3","3422e4906",6
"4","5842f1ff5",5
"5","850a43f90",4
"6","d24c30b4b",3
"7","1caa6fcdb",4
"8","97aa9eeac",5
"9","c06d167ca",6
"10","7a0942d61",3
"11","8b693ca84",6
"12","8e76c8e39",3
"13","aaedd873d",3
"14","4a9793dfb",3
"15","c02be41e6",3
"16","1fd342e17",7
"17","b38a74866",3
"18","f9d07d5fa",3
"19","1c92ce464",5
"20","b10e7605a",3
"21","6436c1a59",6
"22","234a5a54c",6
"23","1bc0f89d8",3
"24","1bf24d8be",3
"25","988988d5b",1
"26","cf7d3eec0",2
"27","85fc3c314",5
"28","efbf1703a",3
"29","7843a9dca",3
"30","d341fbfd6",3
"31","1a76190c5",6
"32","edb920079",3
"33","543130f60",2
"34","9415bc79e",6
"35","4c6fe4100",6
"36","0737e4f11",6
"37","61fa73996",2
"38","eabb13cea",4
"39","deff069a2",4
"40","4e3640544",3
"41","ace21b6b1",5
"42","8ee223a17",3
"43","9a38d4275",2
"44","671ffc570",6
"45","aece6e7bf",3
"46","c1e816568",5
"47","22f6c0ac6",5
"48","ea159d8da",7
"49","af1035c81",4
"50","0d25f084f",7
"51","6fecc5cf7",5
"52","7fe8ef73d",3
"53","015c75c9e",4
"54","9609a0b86",6
"55","c740abfe1",3
"56","f6551137d",5
"57","8c131db77",4
"58","d765ae877",2
"59","8ce183889",4
"60","9c0ddccc8",3
"61","f9df8656a",6
"62","f0ef9c777",3
"63","3181e5424",7
"64","9883a048e",6
"65","b0dec8779",1
"66","e8d0907ae",2
"67","e540c1ba5",3
"68","4a4db4d32",3
"69","98a98311c",3
"70","ef14861df",7
"71","a9bc357f0",2
"72","aaf4a1439",3
"73","1e62e6022",6
"74","4e797dcdd",4
"75","45d2ddcb8",6
"76","259b10a3e",3
"77","d2490c888",4
"78","2c93c0c11",2
"79","35593da00",6
"80","4cc70e613",3
"81","ff125cf8d",3
"82","c30dd6e9a",3
"83","be9474b85",3
"84","815f4cc08",4
"85","ec5069cf6",4
"86","867308404",4
"87","e9df3ead7",2
"88","258667857",4
"89","fd3172797",5
"90","8df0bb3b3",1
"91","3d0752cd9",6
"92","22051ab84",4
"93","573b3ec3d",3
"94","370fe2afb",5
"95","dd308e46b",2
"96","6a763a055",3
"97","5e4154870",4
"98","a44d42407",4
"99","cc8401c02",2
"100","0f24b6cd6",3
"101","49bb70e36",3
"102","43ddb2eb4",2
"103","dae92dd61",7
"104","a6ac8884b",3
"105","60ce9e319",6
"106","5247209aa",3
"107","19b1f4263",4
"108","d50e11ec5",3
"109","4407e70f3",3
"110","27b6e5aca",4
"111","80ebea85c",6
"112","1bf1f95ef",3
"113","cdab8ba8e",6
"114","b84dad49f",7
"115","f0a2122d4",4
"116","1104fe6bb",3
"117","46d88ca3e",2
"118","b99d5d532",4
"119","2b6d08cba",7
"120","b9429dc85",4
"121","c61f6507e",4
"122","e464fcd4b",2
"123","86379f12f",3
"124","55fcdea2f",4
"125","392d3346e",4
"126","33db028cb",3
"127","35c0c3aca",6
"128","d080818c3",2
"129","6f0cb510a",4
"130","61ac3c78c",3
"131","368b2adc1",6
"132","2e4c1faf7",4
"133","a85a1c8c3",4
