PetID	PetType
378fcc4fc	Female Mother and Puppies
73c10e136	Lovely / Playful / Friendly
72000c4c5	Found and Friendly Rescue
e147a4b9f	Found and Friendly Rescue
43fbba852	Found and Friendly Rescue
77a490ec9	Lovely / Playful / Friendly
28c4b1b13	Found and Friendly Rescue
d1eada628	Found and Friendly Rescue
d134dec34	Lovely / Playful / Friendly
bcd464bb8	Found and Friendly Rescue
4e21958c3	Found and Friendly Rescue
7b070aed6	Lovely / Playful / Friendly
ff8d0708f	Lovely / Playful / Friendly
f1e6c9bf3	Lovely / Playful / Friendly
248914c05	Found and Friendly Rescue
948002885	Found and Friendly Rescue
111e67cd2	Found and Friendly Rescue
4f4b2ede1	Lovely / Playful / Friendly
d77fca061	Found and Friendly Rescue
ac9fb74b9	Found and Friendly Rescue
47ef39e7a	Found and Friendly Rescue
c69ee9807	Found and Friendly Rescue
62dcf8ecb	Kittens for adoption by owner
4df1d19d6	Found and Friendly Rescue
e8ef8455e	Lovely / Playful / Friendly
cbd23bc17	Found and Friendly Rescue
4d1a91ccf	Found and Friendly Rescue
004ee5cf7	Found and Friendly Rescue
95fad0a75	Found and Friendly Rescue
64341b5db	Found and Friendly Rescue
36726d4ef	Found and Friendly Rescue
0b56a7525	Found and Friendly Rescue
7f819d0db	Lovely / Playful / Friendly
550a0368b	Lovely / Playful / Friendly
9f60fc089	Found and Friendly Rescue
92ad0b5d6	Found and Friendly Rescue
a0465636d	Found and Friendly Rescue
257e363e0	Lovely / Playful / Friendly
ead84ae08	Found and Friendly Rescue
e3b8f72db	Found and Friendly Rescue
3dd3a9a4a	Found and Friendly Rescue
7d266f64e	Found and Friendly Rescue
ee31cafb8	Found and Friendly Rescue
39795544e	Found and Friendly Rescue
bd401c9d7	Found and Friendly Rescue
ca34f08c5	Found and Friendly Rescue
f28185f8b	Lovely / Playful / Friendly
578ded1cf	Found and Friendly Rescue
075c67b05	Found and Friendly Rescue
2d3f76a93	Found and Friendly Rescue
c9049c53d	Lovely / Playful / Friendly
d51a9f925	Found and Friendly Rescue
1d4d82bda	Lovely / Playful / Friendly
e56ca790d	Found and Friendly Rescue
