PetID	PetType
86e1089a3	Vaccinated and Healthy Rescue
6296e909a	Vaccinated and Healthy Rescue
3422e4906	Vaccinated and Healthy Rescue
5842f1ff5	Active / Playful / Toilet Trained
850a43f90	Loving Family Friendly Rescue
d24c30b4b	Found and Healthy Mother and Kittens
1caa6fcdb	Vaccinated and Healthy Rescue
97aa9eeac	Lovely Female Rescue Puppy
c06d167ca	Active / Playful / Toilet Trained
7a0942d61	Vaccinated and Healthy Rescue
8b693ca84	Vaccinated and Healthy Rescue
8e76c8e39	Found and Healthy Mother and Kittens
aaedd873d	Lovely Female Rescue Puppy
4a9793dfb	Found and Healthy Mother and Kittens
c02be41e6	Vaccinated and Healthy Rescue
1fd342e17	Vaccinated and Healthy Rescue
b38a74866	Vaccinated and Healthy Rescue
f9d07d5fa	Vaccinated and Healthy Rescue
1c92ce464	Lovely Female Rescue Puppy
b10e7605a	Lovely Female Rescue Puppy
6436c1a59	Lovely Female Rescue Puppy
234a5a54c	Vaccinated and Healthy Rescue
1bc0f89d8	Lovely Female Rescue Puppy
1bf24d8be	Vaccinated and Healthy Rescue
988988d5b	Lovely Female Rescue Puppy
cf7d3eec0	Vaccinated and Healthy Rescue
85fc3c314	Lovely Female Rescue Puppy
efbf1703a	Found and Healthy Mother and Kittens
7843a9dca	Lovely Female Rescue Puppy
d341fbfd6	Lovely Female Rescue Puppy
1a76190c5	Lovely Female Rescue Puppy
edb920079	Vaccinated and Healthy Rescue
543130f60	Lovely Female Rescue Puppy
9415bc79e	Found and Healthy Mother and Kittens
4c6fe4100	Penang Shelter
0737e4f11	Penang Shelter
61fa73996	Penang Shelter
eabb13cea	Vaccinated and Healthy Rescue
deff069a2	Penang Shelter
ace21b6b1	Penang Shelter
8ee223a17	Penang Shelter
9a38d4275	Penang Shelter
671ffc570	Vaccinated and Healthy Rescue
aece6e7bf	Vaccinated and Healthy Rescue
c1e816568	Vaccinated and Healthy Rescue
22f6c0ac6	Penang Shelter
ea159d8da	Penang Shelter
af1035c81	Vaccinated and Healthy Rescue
0d25f084f	Vaccinated and Healthy Rescue
6fecc5cf7	Penang Shelter
7fe8ef73d	Vaccinated and Healthy Rescue
015c75c9e	Penang Shelter
9609a0b86	Penang Shelter
c740abfe1	Penang Shelter
f6551137d	Vaccinated and Healthy Rescue
8c131db77	Found and Healthy Mother and Kittens
d765ae877	Penang Shelter
8ce183889	Penang Shelter
9c0ddccc8	Found and Healthy Mother and Kittens
f9df8656a	Penang Shelter
f0ef9c777	Lovely Female Rescue Puppy
3181e5424	Penang Shelter
9883a048e	Penang Shelter
b0dec8779	Vaccinated and Healthy Rescue
e8d0907ae	Penang Shelter
e540c1ba5	Penang Shelter
4a4db4d32	Penang Shelter
98a98311c	Vaccinated and Healthy Rescue
ef14861df	Penang Shelter
a9bc357f0	Loving Family Friendly Rescue
aaf4a1439	Penang Shelter
1e62e6022	Penang Shelter
4e797dcdd	Penang Shelter
45d2ddcb8	Penang Shelter
259b10a3e	Lovely Female Rescue Puppy
d2490c888	Vaccinated and Healthy Rescue
2c93c0c11	Active / Playful / Toilet Trained
35593da00	Cute / Gentle / Spaied
4cc70e613	Penang Shelter
ff125cf8d	Lovely Female Rescue Puppy
c30dd6e9a	Penang Shelter
be9474b85	Penang Shelter
815f4cc08	Penang Shelter
ec5069cf6	Vaccinated and Healthy Rescue
867308404	Penang Shelter
e9df3ead7	Penang Shelter
258667857	Vaccinated and Healthy Rescue
fd3172797	Penang Shelter
8df0bb3b3	Penang Shelter
3d0752cd9	Penang Shelter
22051ab84	Penang Shelter
573b3ec3d	Penang Shelter
370fe2afb	Penang Shelter
dd308e46b	Vaccinated and Healthy Rescue
6a763a055	Vaccinated and Healthy Rescue
a44d42407	Penang Shelter
cc8401c02	Vaccinated and Healthy Rescue
0f24b6cd6	Penang Shelter
49bb70e36	Found and Healthy Mother and Kittens
43ddb2eb4	Penang Shelter
dae92dd61	Penang Shelter
a6ac8884b	Penang Shelter
60ce9e319	Penang Shelter
5247209aa	Penang Shelter
19b1f4263	Found and Healthy Mother and Kittens
d50e11ec5	Active / Playful / Toilet Trained
4407e70f3	Penang Shelter
27b6e5aca	Vaccinated and Healthy Rescue
80ebea85c	Vaccinated and Healthy Rescue
1bf1f95ef	Vaccinated and Healthy Rescue
cdab8ba8e	Vaccinated and Healthy Rescue
b84dad49f	Vaccinated and Healthy Rescue
f0a2122d4	Penang Shelter
1104fe6bb	Penang Shelter
46d88ca3e	Penang Shelter
