PetID,cluster
86e1089a3,3
6296e909a,3
3422e4906,6
5842f1ff5,5
850a43f90,4
d24c30b4b,3
1caa6fcdb,4
97aa9eeac,5
c06d167ca,6
7a0942d61,3
8b693ca84,6
8e76c8e39,3
aaedd873d,3
4a9793dfb,3
c02be41e6,3
1fd342e17,7
b38a74866,3
f9d07d5fa,3
1c92ce464,5
b10e7605a,3
6436c1a59,6
234a5a54c,6
1bc0f89d8,3
1bf24d8be,3
988988d5b,1
cf7d3eec0,2
85fc3c314,5
efbf1703a,3
7843a9dca,3
d341fbfd6,3
1a76190c5,6
edb920079,3
543130f60,2
9415bc79e,6
4c6fe4100,6
0737e4f11,6
61fa73996,2
eabb13cea,4
deff069a2,4
4e3640544,3
ace21b6b1,5
8ee223a17,3
9a38d4275,2
671ffc570,6
aece6e7bf,3
c1e816568,5
22f6c0ac6,5
ea159d8da,7
af1035c81,4
0d25f084f,7
6fecc5cf7,5
7fe8ef73d,3
015c75c9e,4
9609a0b86,6
c740abfe1,3
f6551137d,5
8c131db77,4
d765ae877,2
8ce183889,4
9c0ddccc8,3
f9df8656a,6
f0ef9c777,3
3181e5424,7
9883a048e,6
b0dec8779,1
e8d0907ae,2
e540c1ba5,3
4a4db4d32,3
98a98311c,3
ef14861df,7
a9bc357f0,2
aaf4a1439,3
1e62e6022,6
4e797dcdd,4
45d2ddcb8,6
259b10a3e,3
d2490c888,4
2c93c0c11,2
35593da00,6
4cc70e613,3
ff125cf8d,3
c30dd6e9a,3
be9474b85,3
815f4cc08,4
ec5069cf6,4
867308404,4
e9df3ead7,2
258667857,4
fd3172797,5
8df0bb3b3,1
3d0752cd9,6
22051ab84,4
573b3ec3d,3
370fe2afb,5
dd308e46b,2
6a763a055,3
5e4154870,4
a44d42407,4
cc8401c02,2
0f24b6cd6,3
49bb70e36,3
43ddb2eb4,2
dae92dd61,7
a6ac8884b,3
60ce9e319,6
5247209aa,3
19b1f4263,4
d50e11ec5,3
4407e70f3,3
27b6e5aca,4
80ebea85c,6
1bf1f95ef,3
cdab8ba8e,6
b84dad49f,7
f0a2122d4,4
1104fe6bb,3
46d88ca3e,2
b99d5d532,4
2b6d08cba,7
b9429dc85,4
c61f6507e,4
e464fcd4b,2
86379f12f,3
55fcdea2f,4
392d3346e,4
33db028cb,3
35c0c3aca,6
d080818c3,2
6f0cb510a,4
61ac3c78c,3
368b2adc1,6
2e4c1faf7,4
a85a1c8c3,4
25c7d6c3b,5
0b819602d,3
4c594983d,6
05f99fc56,4
1dfadc371,3
6d9b202c9,5
54791dc58,4
b36616178,6
2ac4dd8c2,6
29f54c6ff,4
48b418070,7
c7eac7b01,6
8e0d65b3e,7
9a34ddc8b,2
ff9f62e79,4
4a6ee5d02,3
474bccd75,2
e4abb93bf,3
120805f93,2
2acf3fdce,3
e1ecc1b26,4
a8cdba660,5
9bcd62ef1,2
c3f2f166d,3
687e9c33c,3
bb5f471dd,2
0aaf6976a,5
45600eaab,4
dcba09ff1,6
d7f938acd,4
ea11b6f12,4
3332eb59c,6
b3e19ff68,2
594e3dc3f,3
fbb112b7e,4
d14d62508,3
5de61cf6b,4
b9590d4de,3
747c82f83,5
3004c3401,4
c737c30d7,3
03b0568b3,6
987baa1c7,2
70b3d1f9c,3
27456ec0f,4
5c28a8cec,4
2c8ae4c7e,3
cd7bea671,4
7bda94ad0,5
ab4b4681b,4
aa189a931,3
d0bc14f47,2
eab8c8c03,3
3b4a987ba,2
1bbb46822,3
5c546c236,3
702bee848,6
66757255c,3
0b0f596b5,4
938bcf142,3
