image,dullness_whiteness,dullness,whiteness,average_pixel_width,image_size,temp_size,width,height,blurrness,colorfulness
0008c5398-1.jpg,"(5.285, 0.0)",5.285,0.0,0.0,23966,"(349, 479)",349,479,245.57618727071343,152.71151497586044
000a290e4-1.jpg,"(0.0, 0.0)",0.0,0.0,0.0,40076,"(360, 480)",360,480,1628.0750393563726,63.30630781224747
000fb9572-1.jpg,"(28.18, 0.0)",28.18,0.0,0.0,17985,"(400, 268)",400,268,462.08770882156387,87.68911575359834
0011d7c25-1.jpg,"(45.615, 0.0)",45.615,0.0,0.0,22383,"(299, 400)",299,400,760.9341142803213,157.0473517147445
00156db4a-1.jpg,"(2.385, 0.0)",2.385,0.0,0.0,13293,"(400, 267)",400,267,275.0500626070467,114.3741752773901
001a1aaad-1.jpg,"(32.445, 2.68)",32.445,2.68,0.0,77766,"(640, 480)",640,480,3169.750824999481,118.90468836696712
001b1507c-1.jpg,"(0.0, 0.0)",0.0,0.0,0.0,17247,"(300, 400)",300,400,190.9081255863889,86.79038395441734
002230dea-1.jpg,"(22.43, 0.0)",22.43,0.0,0.0,37269,"(400, 400)",400,400,1099.2641365248437,131.8304571345591
002278114-1.jpg,"(0.08, 0.0)",0.08,0.0,0.0,35393,"(360, 480)",360,480,1194.1724664303626,161.9731780536661
0025a8313-1.jpg,"(0.15, 0.0)",0.15,0.0,0.0,18875,"(400, 266)",400,266,410.0300837362731,177.0991645951463
0038234c6-1.jpg,"(15.0, 0.08)",15.0,0.08,0.0,20048,"(360, 480)",360,480,347.24344837962974,69.75611369771244
0038c9343-1.jpg,"(0.0, 0.0)",0.0,0.0,0.0,18105,"(400, 300)",400,300,502.95394730666663,125.14322665639367
003dd2e26-1.jpg,"(3.75, 0.0)",3.75,0.0,0.0,31321,"(400, 286)",400,286,2710.9349664249316,157.03001242597207
0045ed62a-1.jpg,"(0.77, 25.814999999999998)",0.77,25.814999999999998,0.0,16060,"(400, 300)",400,300,291.1869158263889,161.42187761338704
004709939-1.jpg,"(0.075, 59.160000000000004)",0.075,59.160000000000004,0.0,24446,"(400, 300)",400,300,1072.5911139066666,177.952009430865
004a26127-1.jpg,"(0.0, 0.0)",0.0,0.0,0.0,12436,"(400, 267)",400,267,244.80696447418256,151.04160667535697
004c2f355-1.jpg,"(2.3, 0.0)",2.3,0.0,0.0,16935,"(400, 300)",400,300,179.70627222222222,163.74741344181368
